X,Y,Z,time_us
17,31,33,712
23,38,15,563
24,39,34,1193
85,18,87,5128
93,24,57,4642
15,36,51,1063
10,94,92,2944
79,28,91,7260
58,12,5,235
42,49,23,1724
50,73,86,10340
16,40,45,1060
52,37,34,2407
62,77,31,5064
94,99,41,12346
94,10,25,1147
36,77,81,7382
65,72,36,5537
96,35,84,9739
80,39,44,4831
70,92,84,17221
93,27,84,7517
77,85,14,3315
25,34,35,1138
15,64,63,2092
59,49,14,1556
6,73,58,946
90,39,95,11685
94,28,35,3485
31,78,66,5322
55,89,87,13663
82,74,96,18624
11,87,65,2151
44,16,27,841
67,23,71,4213
5,33,84,584
8,63,19,416
82,19,9,675
16,92,54,2694
46,77,20,2467
57,50,47,4600
41,90,38,4722
74,16,40,1899
77,43,41,4715
31,66,5,499
66,96,86,17313
40,43,24,1497
100,33,17,2129
64,49,54,5741
71,84,17,3532
48,39,12,899
71,17,19,1029
96,76,85,19966
77,90,8,2056
85,66,51,9495
30,79,30,2475
94,22,40,3202
92,53,46,7638
35,87,6,825
57,28,27,1681
75,38,53,5322
90,79,53,12349
66,29,60,4154
82,58,30,4893
72,18,23,1287
11,65,96,2349
59,28,19,1297
96,70,81,17730
100,98,38,12149
61,31,15,1214
30,47,53,2638
72,60,55,7983
69,34,91,7421
11,85,69,2222
71,92,87,18255
27,44,22,1007
94,33,68,7283
8,45,100,1326
5,55,100,1050
95,61,11,2499
59,28,93,5524
46,11,85,1941
18,84,34,1796
14,90,76,3191
96,29,32,3288
57,96,36,6385
52,98,83,13560
100,87,69,19376
97,6,7,343
85,85,51,12110
70,93,51,10884
23,13,78,1066
22,70,34,1857
44,31,78,3892
91,59,98,17210
25,94,48,3737
33,42,43,2138
14,43,42,958
85,29,51,4634
29,77,62,4628
50,59,83,8174
12,63,40,1117
98,43,32,4656
33,11,64,1079
53,21,21,984
38,72,77,6880
75,81,77,14969
28,36,49,1807
6,37,86,782
47,97,26,4001
53,51,93,8392
67,68,58,8735
56,93,75,12653
98,19,66,4748
67,70,8,1435
55,20,96,4034
8,52,70,1087
66,64,49,6821
100,47,73,11648
50,24,63,2821
46,42,10,814
58,97,70,12607
69,82,65,11854
37,14,20,484
98,62,48,9671
52,75,55,7099
61,43,19,1896
90,95,28,7899
100,36,50,6400
33,17,91,2035
71,22,8,601
8,6,28,107
78,62,53,8546
78,54,79,11192
54,37,55,3930
15,13,78,729
68,81,44,7850
24,10,8,132
56,70,44,5719
81,29,11,1155
26,93,32,2605
51,31,62,3612
55,71,33,4378
44,23,56,2200
29,55,88,4750
71,96,33,7360
91,95,88,24245
22,34,15,495
9,7,22,114
85,18,94,5506
19,88,21,1268
27,59,94,5019
25,82,46,3172
44,52,31,2540
70,76,15,2933
57,65,21,2747
63,11,17,598
19,70,63,2880
99,13,87,4830
53,48,31,2794
89,50,47,7121
62,17,59,2476
50,85,79,10947
15,18,55,662
21,19,44,719
17,25,61,987
79,36,16,1719
59,41,75,6199
21,10,22,256
70,86,34,6852
46,93,20,2909
82,28,12,1125
23,40,16,564
85,100,92,24700
76,97,42,10067
31,55,81,4704
60,32,39,2734
15,76,98,3764
55,35,85,5687
42,29,68,3027
26,28,76,2057
59,46,90,8349
20,83,95,5231
13,94,30,1325
82,69,85,15650
35,74,29,2568
73,9,37,1188
60,92,83,14763
6,93,70,1421
44,66,48,4625
83,85,29,6832
19,97,52,3165
24,12,40,540
75,53,53,7105
16,21,68,942
89,58,28,4879
79,23,39,2828
46,41,96,6107
57,69,55,7232
50,7,39,803
79,29,29,2500
35,47,11,788
6,66,29,460
20,82,13,808
71,87,88,17439
82,61,20,3468
84,89,48,11505
96,87,91,24543
96,27,46,4386
20,6,10,115
16,78,96,4009
10,70,30,811
88,68,82,15993
53,10,44,1104
99,11,50,2466
61,98,87,16616
23,39,12,443
80,55,63,9406
94,50,15,2660
21,40,88,2560
6,28,48,346
72,26,36,2476
80,64,83,13838
10,39,10,199
29,59,68,3894
36,32,28,1196
76,86,89,18694
32,94,20,2081
6,78,53,928
85,58,56,9076
18,33,64,1394
9,31,11,174
87,43,83,10660
99,79,17,4656
47,19,66,2330
92,19,68,4552
10,82,47,1376
47,55,81,7074
56,12,77,2292
24,26,75,1778
14,77,88,3201
10,27,22,277
26,76,86,5627
72,58,52,7168
86,39,31,3831
32,50,51,2835
32,39,63,2846
84,98,36,9570
5,59,22,293
88,48,55,7842
62,62,47,6252
24,97,44,3376
91,37,29,3542
9,27,75,751
79,65,7,1531
92,38,58,7179
46,63,51,5066
79,46,46,5868
62,64,51,6735
5,19,72,320
82,47,94,12573
84,5,7,274
54,99,25,4477
30,38,59,2450
53,67,24,2923
43,83,37,4454
65,74,93,14393
19,31,22,546
79,86,31,7139
54,76,15,2276
69,45,96,10073
6,8,31,116
59,28,62,3734
80,47,50,6659
88,39,12,1601
63,11,62,1961
34,26,72,2339
81,7,51,1624
25,40,54,1929
26,69,26,1673
30,37,82,3235
82,40,34,3925
32,87,17,1700
35,55,16,1156
38,9,63,1059
29,71,10,857
82,39,36,4081
17,23,62,1007
31,45,55,2710
21,98,96,6402
47,43,43,3075
11,19,97,863
90,48,41,5987
32,31,48,1786
54,8,45,988
46,91,25,3537
34,75,26,2314
25,72,14,975
37,82,61,6078
7,15,59,319
78,88,62,13678
89,46,9,1483
75,89,12,2810
18,50,83,2592
82,28,38,3262
92,12,60,2893
85,78,33,7310
49,33,71,4049
84,86,96,22163
30,13,26,500
58,97,9,1895
73,76,20,3777
67,26,80,4999
35,48,67,3840
25,74,44,2724
94,52,62,10178
5,18,32,149
69,82,68,12328
36,77,42,3936
41,61,42,3606
67,12,88,3076
37,45,22,1381
27,38,44,1646
29,92,89,7732
15,14,91,890
96,7,44,1601
78,80,78,15618
49,19,40,1495
78,50,8,1221
49,33,84,4705
92,10,75,3145
100,67,31,7090
76,56,31,4556
17,45,74,2016
24,63,35,1901
7,84,79,1664
31,22,12,373
45,85,79,9863
46,24,41,1710
68,70,43,6916
50,30,66,3633
5,28,34,233
25,50,21,970
61,35,99,7350
47,10,55,1239
79,7,86,2549
86,17,45,2610
19,54,56,2013
68,21,84,4564
24,80,52,3303
11,18,74,651
35,44,70,3730
9,25,91,840
79,57,74,10949
66,75,9,1701
49,64,63,6579
60,55,35,4082
93,10,38,1675
62,5,71,1383
13,63,98,2792
14,61,59,1786
76,6,80,2056
37,61,58,4439
73,56,84,11183
95,41,5,916
23,49,16,706
60,31,83,5606
57,57,82,8827
89,40,100,11979
29,85,86,6973
89,73,59,12517
73,51,76,9575
65,90,59,11206
51,50,80,6791
94,66,54,11023
100,24,64,5531
47,68,72,7569
26,98,91,7556
59,94,38,6990
7,95,69,1641
7,94,86,2007
9,60,87,1684
65,91,93,17533
63,6,17,429
39,62,36,2967
63,84,31,5568
53,86,52,7721
32,92,37,3650
55,18,44,1739
63,73,66,9873
54,10,100,2435
49,67,7,1015
97,76,85,20178
79,40,18,2129
46,86,63,8207
100,77,88,21753
95,68,43,9317
24,95,90,6759
74,80,81,15330
6,25,91,596
11,99,54,2028
69,89,63,12498
18,94,20,1211
98,56,77,13803
71,47,32,3733
95,56,66,11565
29,34,45,1622
65,19,50,2451
69,89,41,8191
81,88,99,22460
39,16,39,1042
63,14,66,2506
38,66,44,3681
64,5,62,1252
12,55,54,1309
88,10,80,3162
40,21,11,455
93,69,83,17437
5,18,47,214
100,91,83,24168
57,8,29,690
60,70,19,2886
60,71,52,7313
81,66,80,13816
20,26,83,1640
10,37,75,1076
41,69,15,1621
59,13,47,1645
35,9,73,1113
87,46,96,12914
51,75,23,3092
86,78,25,5696
43,38,95,5455
66,44,16,1718
60,31,51,3529
16,25,21,363
93,71,33,7339
18,81,27,1425
33,95,22,2432
83,9,73,2531
91,39,65,8108
18,9,73,593
39,15,29,776
48,38,57,3677
92,6,8,310
9,40,7,154
69,69,18,3065
35,12,43,865
64,43,15,1609
82,19,13,918
18,46,71,2111
14,39,86,1747
21,78,82,4502
48,97,64,9512
15,36,55,1138
10,11,79,437
68,37,86,7544
72,38,88,8327
68,86,90,16982
100,86,49,13728
40,83,19,2280
35,45,50,2794
34,47,84,4609
99,45,74,11205
46,89,9,1405
62,25,79,4457
54,39,96,7004
89,15,6,489
73,75,98,17293
70,25,16,1123
38,28,39,1608
41,62,50,4334
85,82,54,12228
98,64,77,15625
73,27,66,4732
34,90,37,3786
60,97,69,12805
73,96,63,14197
81,95,32,8086
51,55,43,4214
72,70,63,10533
12,90,12,536
28,23,77,1929
56,52,34,3456
95,19,11,964
12,69,16,514
52,37,67,4564
79,57,35,5387
33,24,77,2260
37,7,8,152
70,45,49,5332
57,97,72,12642
59,24,55,2907
97,37,18,2472
61,74,70,10281
17,67,74,2870
67,93,72,14353
9,76,71,1725
29,29,14,511
82,12,27,1257
5,99,62,1146
16,73,33,1369
97,43,10,1682
62,35,51,3954
58,56,43,4771
33,8,86,1135
36,98,93,10631
87,17,92,5204
14,95,62,2813
98,34,56,6480
41,83,20,2341
34,10,78,1249
7,75,29,589
80,28,20,1702
19,83,46,2469
23,88,30,2091
40,87,61,7064
93,30,28,2911
51,33,19,1263
88,96,15,4530
30,20,57,1378
57,12,41,1292
37,64,30,2461
64,27,5,448
31,99,68,6776
37,85,40,4185
87,18,85,5108
42,86,29,3596
42,50,78,5526
36,71,30,2676
30,55,88,4906
93,82,76,18477
35,58,17,1282
41,54,26,2085
67,41,67,6311
18,29,96,1877
89,89,64,16122
14,13,56,492
80,24,91,6317
54,31,52,3182
66,25,80,4739
51,64,74,7966
75,74,31,5841
97,84,54,14318
84,64,70,12271
100,36,55,7041
58,100,7,1702
46,7,23,459
30,73,16,1255
36,21,28,882
48,23,85,3574
22,36,38,1137
29,36,76,2808
81,22,20,1458
46,68,79,8206
56,39,19,1637
72,53,49,6463
62,41,7,828
36,18,80,2013
70,15,12,610
7,31,29,285
65,74,91,14171
8,32,20,233
20,11,7,121
24,37,42,1374
34,18,15,438
34,84,32,3069
65,45,54,5477
86,86,36,8727
56,30,78,4763
92,49,36,5473
76,62,48,7524
6,83,50,930
98,61,18,3863
50,25,68,3089
99,30,75,8085
63,83,56,9452
17,58,17,659
28,25,57,1498
45,64,60,5675
63,57,86,10238
96,64,89,17635
98,74,36,8551
79,64,25,4306
52,63,85,9287
7,91,27,694
70,7,13,417
83,14,89,4366
92,23,7,797
23,68,93,4846
82,37,13,1556
50,85,39,5570
78,45,99,11879
93,15,57,3390
27,9,48,572
86,59,55,9333
82,65,52,9035
46,62,85,8072
99,65,78,16284
12,83,47,1645
33,32,96,3537
13,100,24,1117
79,18,81,4437
50,50,39,3397
44,57,42,3586
15,54,100,2800
56,31,78,4917
31,78,20,1706
70,47,97,10871
52,63,64,7008
34,100,33,3794
52,96,80,12668
18,53,68,2246
14,22,22,314
66,96,42,8667
26,47,30,1372
32,58,59,3718
21,94,96,6200
28,64,88,5190
17,87,43,2213
49,71,23,2875
70,59,72,9750
98,83,18,5104
60,94,83,15127
10,84,75,2196
87,42,63,7963
53,71,75,9511
97,85,82,21756
66,100,36,7718
27,25,55,1429
69,86,90,17232
29,80,64,4853
6,77,35,657
81,54,77,11245
22,60,15,805
42,60,58,4929
16,88,78,3661
59,51,63,6445
12,96,38,1532
49,43,86,6183
