size,result,time_us
97, -9.543892e+51, 134767
65, 2.588553e+29, 41664
21, -45189.407586, 1957
20, 863.033889, 1679
88, -2.219408e+44, 100956
53, 2.131012e+20, 23076
34, -221911593.275059, 6672
20, 6048.657356, 1703
88, 4.867854e+45, 100945
76, -9.742957e+37, 65618
71, 4.810595e+33, 53825
56, 1.323225e+23, 26920
10, 0.011384, 290
8, -3.941195, 154
41, -2.802109e+13, 11125
65, -1.111887e+30, 41663
95, -2.861315e+49, 126686
47, 4.420668e+16, 16347
56, 1.422484e+22, 26945
42, -1.984305e+13, 11901
35, -3.162603e+09, 7188
47, -1.060869e+17, 16324
75, 1.370410e+35, 63236
98, -1.334240e+51, 138880
100, -2.580345e+55, 147247
20, 9680.405609, 1732
52, 3.176502e+19, 21717
97, 2.122229e+51, 134813
91, 5.037546e+46, 111631
24, -13584.291031, 2644
60, 7.865652e+26, 32878
24, -353748.377584, 2632
22, 84581.985696, 2180
19, -2622.872488, 1537
94, -1.150565e+50, 122804
68, -3.210133e+31, 47398
84, 1.995940e+43, 88071
32, 2.175417e+09, 5562
8, 1.205961, 208
75, -1.144133e+35, 63242
38, -7.753672e+11, 8977
78, -3.713387e+37, 70893
77, -2.261140e+36, 68290
56, -5.837043e+24, 26908
76, 2.504164e+37, 65607
88, -7.438155e+45, 100979
67, 5.509556e+30, 45464
45, -1.545955e+17, 14440
43, -8.117779e+14, 12700
8, -0.662248, 219
75, 2.351999e+35, 63256
58, -4.090226e+24, 29924
68, -3.492792e+31, 47366
27, 25314843.046489, 3639
32, 2.184003e+09, 5544
58, -8.832042e+23, 29922
47, -4.638454e+17, 16326
49, -1.968395e+19, 18434
9, -0.332100, 256
66, 6.692956e+28, 43496
52, 2.047597e+21, 21744
73, 2.808126e+34, 58449
75, -1.533194e+35, 63219
10, -0.096353, 299
10, 10.385751, 269
46, 7.441871e+15, 15339
29, -223899064.244427, 4346
99, 2.049385e+53, 143059
11, 10.792912, 341
70, -4.345538e+30, 51652
5, 0.261160, 145
20, -6502.917256, 1677
66, -4.879048e+28, 43511
5, 0.064447, 139
41, 6.576201e+12, 11134
66, -2.178827e+29, 43541
58, 7.342385e+24, 29907
72, 1.135144e+33, 55988
29, 55255100.709545, 4344
33, -2.842043e+10, 6131
38, 4.850764e+12, 8988
32, -1.161107e+09, 5569
22, -100754.118240, 2195
63, 7.776905e+27, 37965
93, 1.995067e+50, 119033
51, -1.487865e+20, 20664
90, -2.607299e+46, 108065
66, -5.490676e+29, 43516
55, 3.216730e+22, 25639
69, 5.593491e+31, 49616
44, 5.821798e+15, 13469
25, -646524.602339, 3014
47, -3.743202e+17, 16306
82, 8.346298e+38, 82196
63, 7.465129e+28, 38010
81, 1.761053e+39, 79293
27, -59756759.182478, 3642
46, 6.093685e+17, 15313
97, 5.357059e+51, 134782
96, 3.567859e+52, 130493
9, 0.148137, 243
86, -2.301842e+44, 94472
56, -4.760056e+21, 26916
19, -11621.094308, 1576
78, -1.483508e+38, 70902
91, 2.338499e+47, 111633
35, -1.565536e+10, 7215
86, 1.177008e+44, 94488
6, 0.262736, 187
81, -5.092671e+41, 79270
50, 8.768825e+18, 19518
100, 6.793537e+54, 147262
12, -60.843072, 421
96, 1.670528e+52, 130482
41, 2.523621e+14, 11140
79, -3.109327e+38, 73619
79, 5.316740e+39, 73628
71, 7.970171e+33, 53820
20, 32963.572371, 1712
86, 2.278216e+43, 94485
60, 3.311806e+25, 32920
44, -2.837825e+15, 13477
67, 1.530104e+29, 45495
82, 6.455022e+39, 82184
32, 2.479458e+09, 5567
38, 2.890745e+10, 8996
19, -10220.323317, 1583
19, 356.585245, 1544
48, 6.562860e+17, 17279
95, 2.207732e+50, 126672
66, -3.968697e+29, 43558
63, 1.008537e+27, 37995
66, -3.226739e+30, 43532
32, 150867755.019524, 5577
5, 1.352320, 117
64, -3.574573e+28, 39640
76, 2.899774e+37, 65661
72, -4.180057e+33, 55991
30, 900490865.541702, 4749
64, 4.997601e+29, 39660
72, -9.006350e+31, 55983
11, -35.466481, 347
16, -107.818332, 735
60, -2.286370e+25, 32888
50, -2.892884e+19, 19502
72, -2.780340e+33, 55987
27, -66274439.818907, 3638
12, -22.717427, 399
100, 1.472969e+55, 147237
40, -1.889855e+14, 10291
86, 5.976702e+43, 94513
72, 1.416148e+33, 55989
88, 2.353359e+45, 100954
71, 4.460488e+33, 53842
76, 1.456731e+37, 65632
10, -1.118293, 301
99, 2.815427e+53, 143048
49, 1.721341e+18, 18461
85, 1.477180e+42, 91329
11, 2.079432, 347
65, -2.096453e+29, 41632
67, 1.420115e+30, 45491
25, -288674.474057, 3007
31, 5.206954e+09, 5143
45, 5.090914e+15, 14460
47, -2.611383e+18, 16346
98, 7.668707e+52, 138891
46, 1.155214e+17, 15387
23, -420722.462207, 2417
87, -2.173442e+43, 97715
39, -1.295197e+14, 9672
64, 4.320845e+28, 39692
78, -2.957732e+37, 70946
67, -2.733270e+30, 45501
35, 1.082823e+12, 7186
45, -3.787645e+14, 14473
59, 1.131062e+24, 31439
11, 19.833234, 341
96, 4.327462e+52, 130503
18, 796.195913, 1446
49, -5.221858e+18, 18421
74, 2.292872e+34, 60840
46, 1.687833e+16, 15380
46, -4.446091e+17, 15385
51, -1.385647e+21, 20675
22, -80736.007074, 2186
80, -2.093517e+39, 76279
94, -4.935348e+48, 122788
50, -3.750617e+19, 19528
46, -2.040305e+16, 15373
32, -4.173116e+09, 5553
20, 13176.033188, 1718
37, 5.007106e+12, 8317
69, 2.482240e+31, 49592
35, 1.230288e+10, 7200
53, -3.076313e+21, 23061
100, -2.410471e+52, 147278
30, 194350079.547222, 4773
94, 5.193419e+48, 122772
51, -7.589503e+19, 20650
10, 0.142239, 301
49, -1.104631e+19, 18403
5, 0.345977, 154
11, 1.779515, 301
18, -575.923996, 1387
80, -1.285250e+39, 76238
32, -1.759809e+09, 5565
