X,Y,Z,time_us
9,86,61,17123
6,7,75,1495
49,69,90,109457
57,27,45,26139
73,39,81,85325
6,79,75,13012
93,34,65,75873
90,55,35,63156
15,9,74,4337
44,20,94,32052
52,97,57,102197
26,80,24,17961
23,79,11,7352
99,45,75,122147
46,92,22,33428
56,36,98,72993
92,97,96,303805
27,39,81,31695
97,38,22,30193
9,94,35,10761
95,35,63,77382
18,84,66,35916
95,46,70,111937
26,53,35,17665
65,31,99,74924
60,42,24,22246
65,38,43,39386
22,79,9,5794
45,80,39,50180
33,80,57,53756
60,19,42,18633
99,43,63,97963
51,59,18,19736
12,50,41,9048
89,10,85,31782
60,15,88,32155
9,77,77,19365
18,70,56,25583
78,47,60,80614
45,14,7,1926
11,89,80,28129
80,53,14,21815
74,40,49,52959
10,34,8,1119
10,68,80,19770
14,54,78,21604
80,15,84,40890
85,72,7,15671
83,72,73,155761
59,95,51,102179
82,11,34,12844
15,15,5,552
86,39,76,94298
8,64,95,17661
19,64,95,41590
67,76,36,65845
84,43,8,10823
26,96,72,63944
45,99,19,30350
89,74,48,113193
51,53,30,29615
39,20,64,19397
32,84,96,92278
28,55,87,48896
28,66,67,44563
83,50,88,132237
5,69,13,1739
85,69,22,46681
66,87,47,96723
10,51,31,5870
42,46,21,15011
53,80,88,132923
51,50,55,50914
15,12,62,4701
90,80,41,105328
24,49,13,5678
37,24,96,32088
16,47,75,20823
94,77,72,186675
85,13,90,40786
71,93,70,164803
97,57,8,16300
77,72,99,195808
62,76,58,97967
69,57,28,39851
48,85,90,131260
73,80,51,106193
38,13,11,2333
26,13,17,2466
27,19,79,15780
86,64,8,16130
54,18,65,24589
13,95,14,6343
79,90,88,222516
24,67,94,54559
67,35,75,64968
49,49,82,71318
62,90,95,188544
35,82,73,74862
37,10,48,7544
47,48,16,13237
83,51,81,124282
71,81,87,178225
75,45,92,113521
67,17,8,3678
19,13,30,3136
64,51,90,106474
9,77,88,22110
85,22,96,69602
92,47,31,49259
76,91,61,150303
74,25,52,36384
83,38,99,115396
50,32,96,56729
71,63,82,132597
26,14,16,2481
20,81,73,42440
98,60,97,205577
98,16,42,25761
99,17,24,15848
95,82,85,235962
95,54,51,95134
77,34,78,75359
53,90,25,42700
84,79,44,104941
94,27,20,19246
29,79,19,15815
7,45,70,8230
70,50,48,60983
50,19,88,32430
33,17,72,15774
56,89,6,10971
52,73,38,51721
88,44,75,106131
16,78,68,30664
35,84,27,28552
49,74,29,37815
84,49,22,32994
45,56,85,77129
29,96,91,90052
47,86,33,47913
34,44,23,12717
42,72,18,19644
66,19,22,10800
87,12,66,28473
45,11,76,15703
47,34,94,55542
26,79,62,45861
33,82,86,83119
40,56,12,9856
19,79,75,40671
43,5,93,9605
67,66,69,109510
16,77,21,9439
43,21,77,26940
75,19,60,33180
41,60,92,81727
30,18,92,19347
52,65,20,24453
38,20,87,25639
74,45,8,9999
93,57,34,65062
36,37,44,21778
85,36,67,75756
73,11,40,13444
100,80,22,63027
68,39,92,90247
92,88,58,166937
63,86,60,116337
18,87,60,33886
12,97,16,6778
92,94,75,231240
70,61,73,112575
65,53,10,12758
28,66,75,49869
14,64,29,9459
94,83,50,139323
54,46,23,21082
12,30,43,5929
70,39,52,52630
92,94,88,271259
17,83,100,50689
45,80,73,93704
94,18,50,32940
6,84,66,12131
53,45,86,75054
28,67,10,6911
87,68,92,195406
84,79,43,102539
65,75,89,155227
96,77,78,206469
12,56,38,9334
23,36,51,15742
25,21,45,9221
31,49,70,38675
71,40,69,71472
17,93,67,38061
32,37,71,31190
70,35,71,64254
97,93,64,205823
73,56,90,132298
40,40,66,38650
70,7,93,20473
23,70,65,37905
26,82,99,75432
50,48,62,53910
86,51,33,52659
41,75,67,73839
44,37,9,5581
29,68,91,64604
51,66,41,49676
72,55,96,138148
84,98,87,254180
43,29,74,34773
57,26,95,52950
53,52,66,66070
13,87,62,25330
76,15,44,20413
73,70,49,90216
37,16,40,9302
93,83,32,88430
32,31,54,20240
11,52,32,6774
