RESULT:
[  0.803193170400129,  -0.923606753264361, -0.0896179446993016,  0.0200881903328975]
[ -0.391855392829245,   0.453392446744245,   0.163989082972897,   0.151040956910858]
[  0.236358559931431,   0.204755530095214,  -0.997648936817126,    1.36293726783429]
[  0.388480754302103,  -0.533896352779688,   -1.35820577525419,   0.864522651722263]
NORM:
2.80966
TIME:
1
norm,time_us
121.826474,49
121.826474,19
121.826474,26
121.826474,23
121.826474,19
121.826474,20
121.826474,22
121.826474,27
121.826474,30
121.826474,23
121.826474,22
121.826474,32
121.826474,20
121.826474,20
121.826474,19
121.826474,19
121.826474,20
121.826474,19
121.826474,23
121.826474,37
121.826474,21
121.826474,19
121.826474,19
121.826474,19
121.826474,20
121.826474,17
121.826474,22
121.826474,22
121.826474,17
121.826474,16
121.826474,16
121.826474,17
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,17
121.826474,16
121.826474,17
121.826474,17
121.826474,16
121.826474,16
121.826474,17
121.826474,16
121.826474,17
121.826474,16
121.826474,17
121.826474,17
121.826474,17
121.826474,17
121.826474,16
121.826474,16
121.826474,16
121.826474,17
121.826474,17
121.826474,17
121.826474,17
121.826474,16
121.826474,16
121.826474,16
121.826474,17
121.826474,17
121.826474,16
121.826474,17
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,17
121.826474,16
121.826474,27
121.826474,17
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,43
121.826474,31
121.826474,29
121.826474,22
121.826474,21
121.826474,21
121.826474,21
121.826474,27
121.826474,28
121.826474,25
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,20
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,20
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,21
121.826474,29
121.826474,17
121.826474,17
121.826474,17
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,17
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,16
121.826474,17
121.826474,17
121.826474,16
121.826474,16
EOF
