––––––––––––––––– TESTING ALGORITHM –––––––––––––––––

SOURCE = 

[ 0.380002, -0.243142, -0.319746]

[0.0108368, -0.484536,  0.687704]

[ 0.182981, -0.585236, -0.862444]

[ 0.109570,  0.252524, -0.180186]

Q = 

[ -0.871769,   0.151698,   0.293328,  -0.361890]
34,14,712,2.106225e-06

14,34,1519,3.242650e-06

34,16,868,2.337895e-06

16,34,1736,2.913424e-06

34,18,969,2.523072e-06

18,34,1930,3.572168e-06

34,20,1097,2.763104e-06

20,34,2134,4.778655e-06

34,22,1224,3.275360e-06

22,34,2283,3.963865e-06

34,24,1337,3.311340e-06

24,34,2656,4.162856e-06

34,26,1490,3.823943e-06

26,34,2752,3.761087e-06

34,28,1613,3.811488e-06

28,34,3049,4.284901e-06

34,30,1754,4.122916e-06

30,34,3168,4.359182e-06

34,32,2000,4.219167e-06

32,34,3476,4.574755e-06

34,34,2034,4.173132e-06

36,14,709,2.172318e-06

14,36,1581,2.425114e-06

36,16,867,2.169731e-06

16,36,1759,2.983065e-06

36,18,1092,2.563582e-06

18,36,2038,3.816549e-06

36,20,1140,2.946474e-06

20,36,2157,3.915507e-06

36,22,1275,3.117668e-06

22,36,2462,3.725080e-06

36,24,1407,3.702837e-06

24,36,2624,4.943069e-06

36,26,1561,3.641635e-06

26,36,2927,4.299219e-06

36,28,1690,3.446966e-06

28,36,3118,4.479919e-06

36,30,1842,4.237207e-06

30,36,3428,4.342701e-06

36,32,1999,4.150066e-06

32,36,3579,4.714951e-06

36,34,2156,4.637848e-06

34,36,3942,4.459856e-06

36,36,2296,4.737724e-06

38,14,709,2.209184e-06

14,38,1579,4.020662e-06

38,16,905,2.359366e-06

16,38,1861,3.262131e-06

38,18,1046,2.771962e-06

18,38,2067,3.939915e-06

38,20,1169,3.042031e-06

20,38,2311,3.997213e-06

38,22,1423,3.628263e-06

22,38,2497,4.339372e-06

38,24,1467,3.367395e-06

24,38,2802,4.150344e-06

38,26,1611,3.340898e-06

26,38,3019,4.914391e-06

38,28,1772,3.775765e-06

28,38,3337,5.016960e-06

38,30,1949,4.191764e-06

30,38,3508,4.756822e-06

38,32,2088,4.289356e-06

32,38,3849,5.182741e-06

38,34,2270,4.805218e-06

34,38,4065,5.065403e-06

38,36,2520,4.878278e-06

36,38,4416,4.985344e-06

38,38,2698,5.338903e-06

40,14,852,2.775323e-06

14,40,1673,3.310448e-06

40,16,957,2.359530e-06

16,40,1873,3.460891e-06

40,18,1077,2.518972e-06

18,40,2169,3.828816e-06

40,20,1218,3.003913e-06

20,40,2320,4.264360e-06

40,22,1372,3.529750e-06

22,40,2661,4.771160e-06

40,24,1536,3.743841e-06

24,40,2819,4.450734e-06

40,26,1685,4.100458e-06

26,40,3192,5.035827e-06

40,28,1866,3.924492e-06

28,40,3380,4.856626e-06

40,30,2012,4.432497e-06

30,40,3773,5.458467e-06

40,32,2218,4.239043e-06

32,40,3950,5.207163e-06

40,34,2385,4.759873e-06

34,40,4408,5.402096e-06

40,36,2570,5.008262e-06

36,40,4560,5.356296e-06

40,38,2747,5.573081e-06

38,40,4937,5.547482e-06

40,40,2926,5.402237e-06

42,16,937,2.711310e-06

16,42,1951,3.853407e-06

42,18,1117,2.504985e-06

18,42,2206,4.391910e-06

42,20,1268,3.343244e-06

20,42,2462,4.560153e-06

42,22,1401,3.310927e-06

22,42,2674,4.511562e-06

42,24,1589,3.905080e-06

24,42,2984,4.530473e-06

42,26,1755,4.047492e-06

26,42,3246,5.606250e-06

42,28,1929,4.118332e-06

28,42,3618,4.883605e-06

42,30,2128,4.622537e-06

