X,Y,Z,time_us
76,35,65,63969
35,65,76,62168
76,65,45,79908
65,76,45,79839
76,45,65,81431
45,65,76,79846
76,65,55,97549
65,76,55,97465
76,55,65,98900
55,65,76,97519
76,65,65,115237
65,76,65,115131
65,65,76,115195
76,75,35,71662
75,76,35,71709
76,35,75,73743
35,75,76,71581
76,75,45,92009
75,76,45,92080
76,45,75,93885
45,75,76,91941
76,75,55,112325
75,76,55,112418
76,55,75,114034
55,75,76,112295
76,75,65,132706
75,76,65,132789
76,65,75,132867
65,75,76,132660
76,75,75,153010
75,76,75,153117
75,75,76,153015
81,35,35,36840
35,81,35,35620
35,35,81,36849
81,45,35,46892
45,81,35,45729
81,35,45,47289
35,45,81,46930
81,45,45,60210
45,81,45,58709
45,45,81,60142
81,55,35,56930
55,81,35,55838
81,35,55,57712
35,55,81,56863
81,55,45,73092
55,81,45,71693
81,45,55,73462
45,55,81,73030
81,55,55,89221
55,81,55,87516
55,55,81,89194
81,65,35,66317
65,81,35,65949
81,35,65,68161
35,65,81,66246
81,65,45,85151
65,81,45,84680
81,45,65,86771
45,65,81,85077
81,65,55,103965
65,81,55,103382
81,55,65,105389
55,65,81,103929
81,65,65,122803
65,81,65,122112
65,65,81,122759
81,75,35,76362
75,81,35,76050
81,35,75,78582
35,75,81,76280
81,75,45,98051
75,81,45,97668
81,45,75,100047
45,75,81,97978
81,75,55,119708
75,81,55,119235
81,55,75,121512
55,75,81,119670
81,75,65,141399
75,81,65,140842
81,65,75,141584
65,75,81,141374
81,75,75,163069
75,81,75,162415
75,75,81,163069
87,38,38,46665
38,87,38,45215
38,38,87,46690
87,49,38,58868
49,87,38,58234
87,38,49,60081
38,49,87,58785
87,49,49,75787
49,87,49,74984
49,49,87,75723
87,60,38,71811
60,87,38,71252
87,38,60,73469
38,60,87,71721
87,60,49,92481
60,87,49,91742
87,49,60,92697
49,60,87,92393
87,60,60,113134
60,87,60,112224
60,60,87,113067
87,71,38,84770
71,87,38,84262
87,38,71,86879
38,71,87,84668
87,71,49,109165
71,87,49,108516
87,49,71,109608
49,71,87,109073
87,71,60,133534
71,87,60,132737
87,60,71,133756
60,71,87,133483
87,71,71,157934
71,87,71,156987
71,71,87,157894
87,82,38,96963
82,87,38,97280
87,38,82,100288
38,82,87,96848
87,82,49,124890
82,87,49,125286
87,49,82,126537
49,82,87,124769
87,82,60,152784
82,87,60,153268
87,60,82,154427
60,82,87,152695
87,82,71,180652
82,87,71,181250
87,71,82,182319
71,82,87,180622
87,82,82,208566
82,87,82,209253
82,82,87,208539
93,38,38,49875
38,93,38,48163
38,38,93,49877
93,49,38,62913
49,93,38,62022
93,38,49,64206
38,49,93,62832
93,49,49,80998
49,93,49,79856
49,49,93,80936
93,60,38,76750
60,93,38,75882
93,38,60,78522
38,60,93,76658
93,60,49,98853
60,93,49,97728
93,49,60,99081
49,60,93,98752
93,60,60,120916
60,93,60,119538
60,60,93,120847
93,71,38,90600
71,93,38,89752
93,38,71,92847
38,71,93,90493
93,71,49,116678
71,93,49,115581
93,49,71,117145
49,71,93,116588
93,71,60,142743
71,93,60,141394
93,60,71,142969
60,71,93,142678
93,71,71,168791
71,93,71,167214
71,71,93,168765
93,82,38,103635
82,93,38,103611
93,38,82,107191
38,82,93,103517
93,82,49,133481
82,93,49,133445
93,49,82,135251
49,82,93,133371
93,82,60,163287
82,93,60,163250
93,60,82,165061
60,82,93,163220
93,82,71,193086
82,93,71,193056
93,71,82,194865
71,82,93,193062
93,82,82,222928
82,93,82,222886
82,82,93,222913
93,93,38,117480
93,38,93,121526
38,93,93,117346
93,93,49,151319
93,49,93,153347
49,93,93,151196
93,93,60,185109
93,60,93,187140
60,93,93,185034
93,93,71,218910
93,71,93,220947
71,93,93,218878
93,93,82,252733
93,82,93,252762
82,93,93,252723
93,93,93,286566
99,49,49,86217
49,99,49,84744
49,49,99,86129
99,60,49,105213
60,99,49,103702
99,49,60,105453
49,60,99,105092
99,60,60,128701
60,99,60,126849
60,60,99,128617
99,71,49,124190
71,99,49,122649
99,49,71,124684
49,71,99,124076
99,71,60,151940
71,99,60,150045
99,60,71,152172
60,71,99,151845
99,71,71,179661
71,99,71,177440
71,71,99,179611
99,82,49,142068
82,99,49,141608
99,49,82,143961
49,82,99,141936
99,82,60,173804
82,99,60,173242
99,60,82,175676
60,82,99,173702
99,82,71,205519
82,99,71,204869
99,71,82,207418
71,82,99,205471
99,82,82,237279
82,99,82,236530
82,82,99,237228
99,93,49,161052
93,99,49,160559
99,49,93,163225
49,93,99,160909
99,93,60,197032
93,99,60,196439
99,60,93,199197
60,93,99,196927
99,93,71,233008
93,99,71,232300
99,71,93,235177
71,93,99,232941
99,93,82,269016
93,99,82,268198
99,82,93,269044
82,93,99,268958
99,93,93,305024
93,99,93,304097
93,93,99,304976
105,49,49,91434
49,105,49,89624
49,49,105,91344
105,60,49,111572
60,105,49,109672
105,49,60,111827
49,60,105,111463
105,60,60,136484
60,105,60,134159
60,60,105,136401
105,71,49,131704
71,105,49,129723
105,49,71,132239
49,71,105,131585
105,71,60,161111
71,105,60,158695
105,60,71,161377
60,71,105,161032
105,71,71,190535
71,105,71,187664
71,71,105,190486
105,82,49,150656
82,105,49,149768
105,49,82,152656
49,82,105,150531
105,82,60,184320
82,105,60,183225
105,60,82,186311
60,82,105,184221
105,82,71,217960
82,105,71,216674
105,71,82,219971
71,82,105,217916
105,82,82,251642
82,105,82,250164
82,82,105,251604
105,93,49,170793
93,105,49,169812
105,49,93,173096
49,93,105,170649
105,93,60,208957
93,105,60,207760
105,60,93,211249
60,93,105,208846
105,93,71,247101
93,105,71,245687
105,71,93,249405
71,93,105,247047
105,93,82,285292
93,105,82,283664
105,82,93,285321
82,93,105,285251
105,93,93,323483
93,105,93,321635
93,93,105,323449
105,104,49,189754
104,105,49,189864
105,49,104,193501
49,104,105,189595
105,104,60,232160
104,105,60,232296
105,60,104,236153
60,104,105,232033
105,104,71,274544
104,105,71,274700
105,71,104,278822
71,104,105,274483
105,104,82,316980
104,105,82,317159
105,82,104,318988
82,104,105,316927
105,104,93,359418
104,105,93,359618
105,93,104,361648
93,104,105,359381
105,104,104,401828
104,105,104,402049
104,104,105,401819
111,53,53,113356
53,111,53,111137
53,53,111,113242
111,65,53,137243
65,111,53,136228
111,53,65,138891
53,65,111,137108
111,65,65,168163
65,111,65,166934
65,65,111,168063
111,77,53,162465
77,111,53,161306
111,53,77,164438
53,77,111,162325
111,77,65,199098
77,111,65,197679
111,65,77,199098
65,77,111,198977
111,77,77,235724
77,111,77,234049
77,77,111,235626
111,89,53,186347
89,111,53,186393
111,53,89,189979
53,89,111,186187
111,89,65,228368
89,111,65,228423
111,65,89,230037
65,89,111,228233
111,89,77,270384
89,111,77,270452
111,77,89,272351
77,89,111,270277
111,89,89,312412
89,111,89,312488
89,89,111,312324
111,101,53,211579
101,111,53,211478
111,53,101,215525
53,101,111,211400
111,101,65,259294
101,111,65,259171
111,65,101,260975
65,101,111,259145
111,101,77,307008
101,111,77,306861
111,77,101,308978
77,101,111,306892
111,101,89,354724
101,111,89,354553
111,89,101,354433
89,101,111,354631
111,101,101,402440
101,111,101,402245
101,101,111,402377
117,53,53,119469
53,117,53,116848
53,53,117,119361
117,65,53,144635
65,117,53,143218
117,53,65,146385
53,65,117,144516
117,65,65,177238
65,117,65,175510
65,65,117,177143
117,77,53,171228
77,117,53,169603
117,53,77,173307
53,77,117,171092
117,77,65,209839
77,117,65,207833
117,65,77,209843
65,77,117,209722
117,77,77,248444
77,117,77,246076
77,77,117,248359
117,89,53,196402
89,117,53,195968
117,53,89,200235
53,89,117,196249
117,89,65,240694
89,117,65,240164
117,65,89,242451
65,89,117,240564
117,89,77,284983
89,117,77,284354
117,77,89,287054
77,89,117,284886
117,89,89,329272
89,117,89,328547
89,89,117,329205
117,101,53,223000
101,117,53,222348
117,53,101,227163
53,101,117,222820
117,101,65,273286
101,117,65,272493
117,65,101,275057
65,101,117,273147
117,101,77,323583
101,117,77,322633
117,77,101,325661
77,101,117,323474
117,101,89,373874
101,117,89,372779
117,89,101,373556
89,101,117,373799
117,101,101,424166
101,117,101,422924
101,101,117,424128
117,113,53,248169
113,117,53,248718
117,53,113,254086
53,113,117,247975
117,113,65,304142
113,117,65,304813
117,65,113,307664
65,113,117,303987
117,113,77,360117
113,117,77,360910
117,77,113,364269
77,113,117,359995
117,113,89,416091
113,117,89,417014
117,89,113,417850
89,113,117,416005
117,113,101,472068
113,117,101,473107
117,101,113,474458
101,113,117,472018
