X,Y,Z,time_us
65,76,35,424759
76,35,65,434828
35,65,76,427091
76,65,45,548698
65,76,45,546889
76,45,65,554050
45,65,76,549048
76,65,55,669995
65,76,55,667835
76,55,65,672849
55,65,76,670794
76,65,65,792226
65,76,65,789722
65,65,76,792690
76,75,35,490280
75,76,35,490368
76,35,75,501418
35,75,76,491019
76,75,45,630994
75,76,45,630910
76,45,75,638656
45,75,76,631214
76,75,55,770710
75,76,55,770511
76,55,75,776165
55,75,76,771329
76,75,65,911409
75,76,65,910996
76,65,75,913624
65,75,76,911709
76,75,75,1050895
75,76,75,1050889
75,75,76,1051785
81,35,35,249455
35,81,35,243807
35,35,81,249847
81,45,35,317717
45,81,35,313361
81,35,45,321071
35,45,81,318170
81,45,45,408837
45,81,45,403116
45,45,81,408831
81,55,35,385912
55,81,35,382684
81,35,55,392004
35,55,81,386420
81,55,45,496592
55,81,45,492531
81,45,55,499268
45,55,81,496729
81,55,55,606486
55,81,55,601388
55,55,81,607094
81,65,35,454265
65,81,35,452147
81,35,65,463454
35,65,81,455041
81,65,45,584626
65,81,45,582117
81,45,65,590353
45,65,81,584873
81,65,55,714063
65,81,55,710850
81,55,65,717303
55,65,81,714609
81,65,65,844529
65,81,65,840728
65,65,81,844687
81,75,35,522601
75,81,35,521886
81,35,75,534513
35,75,81,523506
81,75,45,672447
75,81,45,671621
81,45,75,680855
45,75,81,672579
81,75,55,821314
75,81,55,820251
81,55,75,827175
55,75,81,822042
81,75,65,971109
75,81,65,969993
81,65,75,974041
65,75,81,971253
81,75,75,1120104
75,81,75,1118416
75,75,81,1120471
87,38,38,314741
38,87,38,308144
38,38,87,314982
87,49,38,402629
49,87,38,397409
87,38,49,406087
38,49,87,402798
87,49,49,519491
49,87,49,512513
49,49,87,519111
87,60,38,490234
60,87,38,486606
87,38,60,497333
38,60,87,490421
87,60,49,632242
60,87,49,627446
87,49,60,636075
49,60,87,632204
87,60,60,774488
60,87,60,768507
60,60,87,774030
87,71,38,577824
71,87,38,575701
87,38,71,587963
38,71,87,577951
87,71,49,745507
71,87,49,742475
87,49,71,752039
49,71,87,745081
87,71,60,912988
71,87,60,909170
87,60,71,915545
60,71,87,912268
87,71,71,1079230
71,87,71,1074932
71,71,87,1079273
87,82,38,665478
82,87,38,664653
87,38,82,679306
38,82,87,665854
87,82,49,858589
82,87,49,857239
87,49,82,868593
49,82,87,858093
87,82,60,1051528
82,87,60,1050039
87,60,82,1057877
60,82,87,1050682
