size,time_us
5,1228
7,1817
9,3225
11,5515
13,8863
15,13357
17,20253
19,27725
21,37099
23,48718
25,62413
27,78463
29,97053
31,118659
33,142952
35,170532
37,201305
39,235942
41,274043
43,316137
45,362090
47,412686
49,467715
51,527247
53,591855
55,661597
57,736332
59,816651
61,902938
63,994457
65,1092745
67,1196851
69,1306781
