SOURCE:

[ 0.380002064000000, -0.243142362000000, -0.319745920000000,  0.759988110000000]

[0.0108367950000000, -0.484535765000000,  0.687703766000000, -0.361039414000000]

[ 0.182981080000000, -0.585235722000000, -0.862443925000000,  0.961136338000000]

[ 0.109569827000000,  0.252523862000000, -0.180186213000000, -0.829990423000000]

TEMP:

[ 0.883339159000000, -0.372346961000000,   1.21804390000000, -0.592931535000000]

[-0.372346961000000,  0.838178271000000, -0.654563468000000, 0.0545750620000000]

[  1.21804390000000, -0.654563468000000,   2.04357551000000, -0.770070232000000]

[-0.592931535000000, 0.0545750620000000, -0.770070232000000,  0.797125022000000]

LLT:

[ 0.939861244000000, -0.372346961000000,   1.21804390000000, -0.592931535000000]

[-0.396172268000000,  0.825364044000000, -0.654563468000000, 0.0545750620000000]

[  1.29598268600000, -0.170992509000000,  0.578589621000000, -0.770070232000000]

[-0.630871353000000, -0.236693946000000, 0.0121938370000000,  0.585622441000000]

TIME:

173

rows,cols,time_us
37,17,783

17,37,4303

37,19,948

19,37,4288

37,21,1170

21,37,4327

37,23,1455

23,37,4327

37,25,1723

25,37,4957

37,27,2083

27,37,4991

37,29,2441

29,37,5033

37,31,2908

31,37,5047

37,33,3915

33,37,5161

37,35,4520

35,37,5183

37,37,5186

39,15,621

15,39,4749

39,17,779

17,39,4761

39,19,948

19,39,4781

39,21,1191

21,39,4813

39,23,1443

23,39,4818

39,25,1733

25,39,5622

39,27,2087

27,39,5658

39,29,2453

29,39,5621

39,31,2883

31,39,5930

39,33,3902

33,39,5920

39,35,4506

35,39,5929

39,37,5210

37,39,5936

39,39,5935

41,15,638

15,41,5254

41,17,771

17,41,5271

41,19,954

19,41,5292

41,21,1191

21,41,5324

41,23,1449

23,41,6266

41,25,1741

25,41,6277

41,27,2074

27,41,6288

41,29,2463

29,41,6327

41,31,2862

31,41,6355

41,33,3898

33,41,6692

41,35,4535

35,41,6727

41,37,5213

37,41,6735

41,39,5960

39,41,6811

41,41,6773

43,17,779

17,43,5847

43,19,958

19,43,5826

43,21,1185

21,43,5871

43,23,1425

23,43,6974

43,25,1733

25,43,7033

43,27,2091

27,43,7008

43,29,2446

29,43,7052

43,31,2878

31,43,7053

43,33,3891

33,43,7531

43,35,4540

35,43,7559

43,37,5210

37,43,7574

43,39,5949

39,43,7562

43,41,6827

41,43,7705

43,43,7665

45,17,787

17,45,6414

45,19,963

19,45,6418

45,21,1183

21,45,6416

45,23,1437

23,45,7743

45,25,1743

25,45,7758

45,27,2078

27,45,7785

45,29,2449

29,45,8442

45,31,2890

31,45,7845

45,33,3923

33,45,8423

45,35,4490

35,45,8453

45,37,5210

37,45,8445

45,39,5932

39,45,8471

45,41,6814

41,45,8657

45,43,7693

43,45,8680

45,45,8670

47,17,777

17,47,6987

47,19,982

19,47,7040

47,21,1180

21,47,7047

47,23,1434

23,47,7057

47,25,1713

25,47,8561

47,27,2065

27,47,8607

47,29,2469

29,47,8645

47,31,2903

31,47,9388

47,33,3905

33,47,9348

47,35,4532

35,47,9392

47,37,5216

37,47,9399

47,39,5944

39,47,9412

47,41,6772

41,47,9700

47,43,7683

43,47,9696

47,45,8696

45,47,9736

47,47,9685

49,19,986

19,49,7650

49,21,1194

21,49,7680

49,23,1444

23,49,7686

49,25,1727

25,49,9422

49,27,2067

27,49,9431

49,29,2465

29,49,9442

49,31,2871

31,49,9470

49,33,3911

33,49,10366

49,35,4508

35,49,10402

49,37,5217

37,49,10405

49,39,5946

39,49,10419

49,41,6828

41,49,10789

49,43,7681

43,49,10837

49,45,8674

45,49,10854

49,47,9779

47,49,10929

49,49,10885

51,19,969

19,51,8312

51,21,1170

21,51,8337

51,23,1439

23,51,8334

51,25,1730

25,51,10302

51,27,2072

27,51,10307

51,29,2453

29,51,10331

51,31,2869

31,51,11439

51,33,3911

33,51,11426

51,35,4490

35,51,11441

51,37,5237

37,51,11482

51,39,5923

39,51,11971

51,41,6794

41,51,11996

51,43,7684

43,51,11994

51,45,8656

45,51,12030

51,47,9744

47,51,12147

51,49,10958

49,51,12125

51,51,12162

53,19,964

19,53,9030

53,21,1189

21,53,9050

53,23,1440

23,53,11213

53,25,1738

25,53,11219

53,27,2063

27,53,11268

53,29,2463

29,53,11276

53,31,2905

31,53,11282

53,33,3933

33,53,12519

53,35,4518

35,53,12613

53,37,5204

37,53,12588

53,39,5960

39,53,13213

53,41,6805

41,53,13257

53,43,7669

43,53,13270

53,45,8687

45,53,13296

53,47,9750

47,53,13522

53,49,10929

49,53,13511

53,51,12154

51,53,13518

53,53,13512

55,21,1195

21,55,9750

55,23,1432

23,55,9760

55,25,1732

25,55,12194

55,27,2066

27,55,12231

55,29,2454

29,55,12257

55,31,2896

31,55,12257

55,33,3905

33,55,13682

55,35,4532

35,55,13714

55,37,5204

37,55,14534

55,39,5944

39,55,13772

55,41,6807

41,55,14591

55,43,7693

43,55,14576

55,45,8709

45,55,14610

55,47,9752

47,55,14861

55,49,10956

49,55,14904

55,51,12181

51,55,14933

55,53,13527

53,55,14944

55,55,14938

57,21,1185

21,57,10549

57,23,1460

23,57,10557

57,25,1723

25,57,13271

57,27,2089

27,57,13246

57,29,2470

29,57,13308

57,31,2896

31,57,13333

57,33,3920

33,57,15002

57,35,4514

35,57,15014

57,37,5215

37,57,15017

57,39,5990

39,57,15051

57,41,6825

41,57,15981

57,43,7672

43,57,16044

57,45,8687

45,57,16012

