RESULT:

0.27228242200000000, -0.31325334300000000, 0.23918093700000000

0.17164787700000000, 0.33872973900000000, -0.40796995200000000

0.60133552600000000, 0.0066805780000000000, -0.29270222800000000

NORM: 0.99369853700000000

TIME: 46

RESULT:

-0.12213701800000000, 0.67141449500000000, 0.71325862400000000, 1.5165059570000000

-0.078896567000000000, -0.064756669000000000, -0.82895112000000000, -0.48628252700000000

0.84155023100000000, 1.4052258730000000, -0.48476541000000000, 0.93334615200000000

0.43592345700000000, 0.22754994000000000, -0.83805227300000000, -1.1808593270000000

NORM: 3.2149431710000000

TIME: 34

norm,time_us

115.818504,4394

115.818504,4361

115.818504,4323

115.818504,4319

115.818504,4320

115.818504,4326

115.818504,4320

115.818504,4319

115.818504,4318

115.818504,4322

115.818504,4319

115.818504,4320

115.818504,4309

115.818504,4319

115.818504,4321

115.818504,4321

115.818504,4322

115.818504,4324

115.818504,4319

115.818504,4319

115.818504,4324

115.818504,4322

115.818504,4321

115.818504,4316

115.818504,4325

115.818504,4319

115.818504,4321

115.818504,4320

115.818504,4328

115.818504,4317

115.818504,4317

115.818504,4321

115.818504,4304

115.818504,4318

115.818504,4326

115.818504,4318

115.818504,4323

115.818504,4319

115.818504,4323

115.818504,4323

115.818504,4308

115.818504,4320

115.818504,4320

115.818504,4319

115.818504,4325

115.818504,4321

115.818504,4319

115.818504,4318

115.818504,4305

115.818504,4320

115.818504,4323

115.818504,4322

115.818504,4321

115.818504,4318

115.818504,4321

115.818504,4305

115.818504,4321

115.818504,4323

115.818504,4320

115.818504,4317

115.818504,4323

115.818504,4321

115.818504,4315

115.818504,4317

115.818504,4321

115.818504,4320

115.818504,4320

115.818504,4315

115.818504,4320

115.818504,4313

115.818504,4319

115.818504,4320

115.818504,4322

115.818504,4323

115.818504,4321

115.818504,4324

115.818504,4323

115.818504,4328

115.818504,4321

115.818504,4306

115.818504,4324

115.818504,4321

115.818504,4320

115.818504,4316

115.818504,4317

115.818504,4318

115.818504,4322

115.818504,4319

115.818504,4319

115.818504,4324

115.818504,4321

115.818504,4320

115.818504,4321

115.818504,4315

115.818504,4308

115.818504,4316

115.818504,4317

115.818504,4317

115.818504,4315

115.818504,4317

115.818504,4328

115.818504,4307

115.818504,4320

115.818504,4319

115.818504,4319

115.818504,4322

115.818504,4326

115.818504,4321

115.818504,4323

115.818504,4322

115.818504,4317

115.818504,4319

115.818504,4318

115.818504,4320

115.818504,4324

115.818504,4319

