SOURCE:

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

LU:

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

0.0000000000000000, 0.0000000000000000, 0.0000000000000000, 0.0000000000000000

TIME: 56

SOURCE:

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

LU:

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

0.00000, 0.00000, 0.00000, 0.00000

TIME:

56

rows,cols,time_us
132,132,108069

140,100,75602

100,140,75514

140,108,85783

108,140,85737

140,116,96224

116,140,96145

140,124,106888

124,140,106843

140,132,117673

132,140,117648

140,140,128516

148,100,81176

100,148,81052

148,108,92244

108,148,92124

148,116,103633

116,148,103594

148,124,115326

124,148,115303

148,132,127253

132,148,127205

148,140,139311

140,148,139267

148,148,151377

156,100,86695

100,156,86592

156,108,98706

108,156,98599

156,116,111085

116,156,111021

156,124,123822

124,156,123743

156,132,136833

132,156,136783

156,140,150054

140,156,150008

156,148,163435

148,156,163430

156,156,176823

164,100,92234

100,164,92126

164,108,105154

108,164,105045

164,116,118522

116,164,118391

164,124,132273

124,164,132182

164,132,146410

132,164,146390

164,140,160835

140,164,160783

164,148,175479

148,164,175414

164,156,190214

156,164,190121

164,164,205039

172,100,97821

100,172,97668

172,108,111529

108,172,111511

172,116,125951

116,172,125793

172,124,140776

124,172,140679

172,132,156001

132,172,155938

172,140,171580

140,172,171472

172,148,187447

148,172,187402

172,156,203525

156,172,203480

172,164,219694

164,172,219747

172,172,236004

180,100,103378

100,180,103203

180,108,118044

108,180,117932

180,116,133387

116,180,133187

180,124,149182

124,180,149123

180,132,165566

132,180,165480

180,140,182330

140,180,182308

180,148,199441

148,180,199393

180,156,216811

156,180,216754

180,164,234466

164,180,234422

180,172,252137

172,180,252122

180,180,269933

188,100,108891

100,188,108740

188,108,124531

108,188,124338

188,116,140818

116,188,140703

188,124,157686

124,188,157513

188,132,175173

132,188,175023

188,140,193086

140,188,192990

188,148,211478

148,188,211270

188,156,230171

156,188,230051

188,164,249101

164,188,249101

188,172,268317

172,188,268255

188,180,287685

180,188,287604

188,188,307017

196,100,114469

100,196,114276

196,108,130988

108,196,130797

196,116,148230

116,196,148005

196,124,166153

124,196,166073

196,132,184742

132,196,184610

196,140,203860

140,196,203670

196,148,223479

148,196,223363

196,156,243451

156,196,243390

196,164,263852

164,196,263741

196,172,284547

172,196,284438

196,180,305295

180,196,305250

196,188,326296

188,196,326282

196,196,347362

200,200,368624

215,200,409642

200,215,409598

215,215,457024

230,200,450495

200,230,450337

230,215,504224

215,230,504105

230,230,558311

245,200,491351

200,245,491185

245,215,551233

