X,Y,Z,time_us
55,65,76,8977
76,65,65,10465
65,76,65,10454
65,65,76,10400
76,75,35,6726
75,76,35,6739
76,35,75,6984
35,75,76,6528
76,75,45,8424
75,76,45,8440
76,45,75,8844
45,75,76,8383
76,75,55,10321
75,76,55,10339
76,55,75,10584
55,75,76,10135
76,75,65,12021
75,76,65,12045
76,65,75,12111
65,75,76,11947
76,75,75,13914
75,76,75,13942
75,75,76,13763
81,35,35,3631
35,81,35,3378
35,35,81,3511
81,45,35,4579
45,81,35,4362
81,35,45,4514
35,45,81,4392
81,45,45,5722
45,81,45,5469
45,45,81,5610
81,55,35,5453
55,81,35,5234
81,35,55,5525
35,55,81,5296
81,55,45,6823
55,81,45,6556
81,45,55,7010
45,55,81,6770
81,55,55,8362
55,81,55,8029
55,55,81,8271
81,65,35,6232
65,81,35,6168
81,35,65,6435
35,65,81,6070
81,65,45,7811
65,81,45,7723
81,45,65,8166
45,65,81,7776
81,65,55,9571
65,81,55,9463
81,55,65,9724
55,65,81,9597
81,65,65,11141
65,81,65,11025
65,65,81,11108
81,75,35,7165
75,81,35,7097
81,35,75,7445
35,75,81,6980
81,75,45,8972
75,81,45,8898
81,45,75,9456
45,75,81,8965
81,75,55,10993
75,81,55,10896
81,55,75,11271
55,75,81,10826
81,75,65,12800
75,81,65,12697
81,65,75,12898
65,75,81,12763
81,75,75,14820
75,81,75,14697
75,75,81,14703
87,38,38,4523
38,87,38,4265
38,38,87,4445
87,49,38,5535
49,87,38,5431
87,38,49,5727
38,49,87,5461
87,49,49,7010
49,87,49,6874
49,49,87,7008
87,60,38,6728
60,87,38,6628
87,38,60,6913
38,60,87,6645
87,60,49,8521
60,87,49,8391
87,49,60,8481
49,60,87,8543
87,60,60,10311
60,87,60,10157
60,60,87,10470
87,71,38,7918
71,87,38,7823
87,38,71,8270
38,71,87,7830
87,71,49,10028
71,87,49,9909
87,49,71,10114
49,71,87,10089
87,71,60,12133
71,87,60,11993
87,60,71,12299
60,71,87,12218
87,71,71,14484
71,87,71,14308
71,71,87,14428
87,82,38,8945
82,87,38,9015
87,38,82,9481
38,82,87,8876
87,82,49,11337
82,87,49,11429
87,49,82,11591
49,82,87,11308
87,82,60,13728
82,87,60,13829
87,60,82,14094
60,82,87,13806
87,82,71,16364
82,87,71,16498
87,71,82,16595
71,82,87,16304
87,82,82,18762
82,87,82,18911
82,82,87,18800
93,38,38,4859
38,93,38,4549
38,38,93,4708
93,49,38,5915
49,93,38,5758
93,38,49,6147
38,49,93,5794
93,49,49,7491
49,93,49,7294
49,49,93,7435
93,60,38,7182
60,93,38,7026
93,38,60,7415
38,60,93,7046
93,60,49,9102
60,93,49,8901
93,49,60,9058
49,60,93,9058
93,60,60,11011
60,93,60,10771
60,60,93,11104
93,71,38,8454
71,93,38,8293
93,38,71,8861
38,71,93,8305
93,71,49,10712
71,93,49,10511
93,49,71,10802
49,71,93,10699
93,71,60,12963
71,93,60,12722
93,60,71,13139
60,71,93,12955
93,71,71,15470
71,93,71,15169
71,71,93,15298
93,82,38,9554
82,93,38,9555
93,38,82,10151
38,82,93,9418
93,82,49,12113
82,93,49,12115
93,49,82,12378
49,82,93,12001
93,82,60,14663
82,93,60,14669
93,60,82,15057
60,82,93,14651
93,82,71,17484
82,93,71,17493
93,71,82,17728
71,82,93,17300
93,82,82,20037
82,93,82,20048
82,82,93,19951
93,93,38,10824
93,38,93,11439
38,93,93,10743
93,93,49,13720
93,49,93,13955
49,93,93,13597
93,93,60,16615
93,60,93,16972
60,93,93,16598
93,93,71,19816
93,71,93,19982
71,93,93,19601
93,93,82,22715
93,82,93,22598
82,93,93,22604
93,93,93,25610
99,49,49,7962
49,99,49,7712
49,49,99,7951
99,60,49,9683
60,99,49,9406
99,49,60,9636
49,60,99,9688
99,60,60,11711
60,99,60,11389
60,60,99,11874
99,71,49,11395
71,99,49,11103
99,49,71,11492
49,71,99,11442
99,71,60,13792
71,99,60,13446
99,60,71,13979
60,71,99,13853
99,71,71,16459
71,99,71,16035
71,71,99,16362
99,82,49,12888
82,99,49,12805
99,49,82,13172
49,82,99,12826
99,82,60,15598
82,99,60,15506
99,60,82,16014
60,82,99,15661
99,82,71,18601
82,99,71,18492
99,71,82,18859
71,82,99,18493
99,82,82,21321
82,99,82,21196
82,82,99,21323
99,93,49,14598
93,99,49,14502
99,49,93,14848
49,93,99,14536
99,93,60,17678
93,99,60,17558
99,60,93,18053
60,93,99,17746
99,93,71,21084
93,99,71,20943
99,71,93,21262
71,93,99,20958
99,93,82,24168
93,99,82,24005
99,82,93,24047
82,93,99,24170
99,93,93,27250
93,99,93,27075
93,93,99,27384
105,49,49,8446
49,105,49,8123
49,49,105,8380
105,60,49,10264
60,105,49,9913
105,49,60,10214
49,60,105,10203
105,60,60,12417
60,105,60,12002
60,60,105,12517
105,71,49,12080
71,105,49,11704
105,49,71,12181
49,71,105,12057
105,71,60,14619
71,105,60,14173
105,60,71,14814
60,71,105,14592
105,71,71,17451
71,105,71,16895
71,71,105,17235
105,82,49,13657
82,105,49,13499
105,49,82,13962
49,82,105,13518
105,82,60,16539
82,105,60,16344
105,60,82,16979
60,82,105,16498
105,82,71,19718
82,105,71,19486
105,71,82,19992
71,82,105,19488
105,82,82,22604
82,105,82,22335
82,82,105,22475
105,93,49,15476
93,105,49,15286
105,49,93,15741
49,93,105,15314
105,93,60,18739
93,105,60,18513
105,60,93,19143
60,93,105,18699
105,93,71,22351
93,105,71,22072
105,71,93,22536
71,93,105,22089
105,93,82,25613
93,105,82,25307
105,82,93,25491
82,93,105,25468
105,93,93,28887
93,105,93,28534
93,93,105,28853
105,104,49,17075
104,105,49,17078
105,49,104,17512
49,104,105,16904
105,104,60,20678
104,105,60,20686
105,60,104,21295
60,104,105,20633
105,104,71,24653
104,105,71,24659
105,71,104,25075
71,104,105,24364
105,104,82,28264
104,105,82,28265
105,82,104,28366
82,104,105,28103
105,104,93,31873
104,105,93,31884
105,93,104,32149
93,104,105,31839
105,104,104,35477
104,105,104,35489
104,104,105,35573
111,53,53,10479
53,111,53,10080
53,53,111,10459
111,65,53,12488
65,111,53,12329
111,53,65,12766
53,65,111,12540
111,65,65,15222
65,111,65,15026
65,65,111,15199
111,77,53,14775
77,111,53,14568
111,53,77,15057
53,77,111,14707
111,77,65,18009
77,111,65,17762
111,65,77,17950
65,77,111,17992
111,77,77,21246
77,111,77,20957
77,77,111,21271
111,89,53,16786
89,111,53,16817
111,53,89,17347
53,89,111,16710
111,89,65,20462
89,111,65,20502
111,65,89,20687
65,89,111,20437
111,89,77,24142
89,111,77,24186
111,77,89,24479
77,89,111,24165
111,89,89,27822
89,111,89,27873
89,89,111,27893
111,101,53,19073
101,111,53,19061
111,53,101,19639
53,101,111,18988
111,101,65,23256
101,111,65,23240
111,65,101,23423
65,101,111,23228
111,101,77,27435
101,111,77,27421
111,77,101,27718
77,101,111,27467
111,101,89,31615
101,111,89,31598
111,89,101,31496
89,101,111,31704
111,101,101,35793
101,111,101,35776
101,101,111,35939
117,53,53,11036
53,117,53,10562
53,53,117,10958
117,65,53,13160
65,117,53,12916
117,53,65,13450
53,65,117,13141
117,65,65,16041
65,117,65,15747
65,65,117,15931
117,77,53,15567
77,117,53,15270
117,53,77,15863
53,77,117,15412
117,77,65,18978
77,117,65,18616
117,65,77,18915
65,77,117,18853
117,77,77,22388
77,117,77,21962
77,77,117,22290
117,89,53,17689
89,117,53,17625
117,53,89,18278
53,89,117,17512
117,89,65,21562
89,117,65,21486
117,65,89,21797
65,89,117,21422
117,89,77,25440
89,117,77,25351
117,77,89,25795
77,89,117,25331
117,89,89,29313
89,117,89,29215
89,89,117,29240
117,101,53,20098
101,117,53,19980
117,53,101,20693
53,101,117,19900
117,101,65,24502
101,117,65,24358
117,65,101,24678
65,101,117,24343
117,101,77,28907
101,117,77,28734
117,77,101,29206
77,101,117,28780
117,101,89,33313
101,117,89,33120
117,89,101,33190
89,101,117,33224
117,101,101,37720
101,117,101,37494
101,101,117,37667
117,113,53,22217
113,117,53,22328
117,53,113,23107
53,113,117,22004
117,113,65,27091
113,117,65,27231
117,65,113,27558
65,113,117,26915
117,113,77,31962
113,117,77,32129
117,77,113,32613
77,113,117,31826
117,113,89,36833
113,117,89,37025
117,89,113,37067
89,113,117,36736
117,113,101,41704
113,117,101,41921
117,101,113,42122
101,113,117,41652
117,113,113,46573
113,117,113,46816
113,113,117,46562
123,53,53,11601
53,123,53,11050
53,53,123,11573
123,65,53,13827
65,123,53,13510
123,53,65,14136
53,65,123,13868
123,65,65,16857
65,123,65,16465
65,65,123,16804
123,77,53,16358
77,123,53,15972
123,53,77,16674
53,77,123,16264
123,77,65,19944
77,123,65,19473
123,65,77,19878
65,77,123,19893
123,77,77,23518
77,123,77,22972
77,77,123,23518
123,89,53,18585
89,123,53,18434
123,53,89,19211
53,89,123,18477
123,89,65,22659
89,123,65,22472
123,65,89,22907
65,89,123,22597
123,89,77,26738
89,123,77,26516
123,77,89,27111
77,89,123,26720
123,89,89,30812
89,123,89,30558
89,89,123,30843
123,101,53,21124
101,123,53,20897
123,53,101,21745
53,101,123,20997
123,101,65,25748
101,123,65,25475
123,65,101,25935
65,101,123,25683
123,101,77,30382
101,123,77,30054
123,77,101,30693
77,101,123,30368
123,101,89,35013
101,123,89,34639
123,89,101,34882
89,101,123,35060
123,101,101,39642
101,123,101,39213
101,101,123,39746
123,113,53,23350
113,123,53,23356
123,53,113,24284
53,113,123,23211
123,113,65,28469
113,123,65,28480
123,65,113,28963
65,113,123,28391
123,113,77,33592
113,123,77,33603
123,77,113,34276
77,113,123,33577
123,113,89,38708
113,123,89,38725
123,89,113,38956
89,113,123,38756
123,113,101,43830
113,123,101,43846
123,101,113,44270
101,113,123,43934
123,113,113,48947
113,123,113,48968
113,113,123,49120
130,53,53,12252
53,130,53,11637
53,53,130,12187
130,65,53,14609
65,130,53,14229
130,53,65,14928
53,65,130,14615
130,65,65,17807
65,130,65,17343
65,65,130,17707
130,77,53,17283
77,130,53,16819
130,53,77,17615
53,77,130,17134
130,77,65,21067
77,130,65,20506
130,65,77,21000
65,77,130,20955
130,77,77,24857
77,130,77,24191
77,77,130,24780
130,89,53,19637
89,130,53,19414
130,53,89,20293
53,89,130,19467
130,89,65,23941
89,130,65,23667
130,65,89,24201
65,89,130,23815
130,89,77,28247
89,130,77,27921
130,77,89,28640
77,89,130,28161
130,89,89,32551
89,130,89,32177
89,89,130,32503
130,101,53,22315
101,130,53,22005
130,53,101,22977
53,101,130,22124
130,101,65,27209
101,130,65,26831
130,65,101,27400
65,101,130,27058
130,101,77,32102
101,130,77,31655
130,77,101,32427
77,101,130,32001
130,101,89,36991
101,130,89,36480
130,89,101,36851
89,101,130,36944
130,101,101,41882
101,130,101,41308
101,101,130,41875
130,113,53,24669
113,130,53,24596
130,53,113,25655
53,113,130,24460
130,113,65,30082
113,130,65,29994
130,65,113,30597
65,113,130,29918
130,113,77,35486
113,130,77,35389
130,77,113,36214
77,113,130,35378
130,113,89,40896
113,130,89,40783
130,89,113,41155
89,113,130,40836
130,113,101,46308
113,130,101,46179
130,101,113,46773
101,113,130,46301
130,113,113,51718
113,130,113,51572
113,113,130,51761
130,125,53,27349
125,130,53,27192
130,53,125,28332
53,125,130,27114
130,125,65,33348
125,130,65,33157
130,65,125,33797
65,125,130,33163
130,125,77,39338
125,130,77,39119
130,77,125,40001
77,125,130,39224
130,125,89,45335
125,130,89,45089
130,89,125,45462
89,125,130,45278
130,125,101,51332
125,130,101,51048
130,101,125,51661
101,125,130,51335
130,125,113,57332
125,130,113,57013
130,113,125,57127
113,125,130,57384
130,125,125,63330
125,130,125,62973
125,125,130,63438
137,57,57,14614
57,137,57,14086
57,57,137,14564
