M1:

[ 0.380002064000000, -0.243142362000000, -0.319745920000000,  0.759988110000000]

[0.0108367950000000, -0.484535765000000,  0.687703766000000, -0.361039414000000]

[ 0.182981080000000, -0.585235722000000, -0.862443925000000,  0.961136338000000]

[ 0.109569827000000,  0.252523862000000, -0.180186213000000, -0.829990423000000]

M2:

[ 0.815257902000000,  0.744578516000000, -0.276169594000000,  0.754135047000000]

[-0.794981101000000, -0.333480515000000, -0.936012343000000, -0.101482174000000]

[ 0.843955526000000,  0.384818901000000,  0.717022201000000, -0.135614791000000]

[0.0151024280000000,  0.113892410000000, -0.802031003000000,  0.212535824000000]

RES:

[  0.244719598000000,   0.327537218000000,  -0.716159713000000,   0.516134466000000]

[  0.968970380000000,   0.393173839000000,    1.23320233400000,  -0.112652462000000]

[-0.0989207140000000,   0.108989902000000,  -0.891998533000000,   0.518619495000000]

[ -0.276028052000000,  -0.166497119000000,   0.269855230000000, -0.0949630070000000]

TIME:

52

x,y,z,time_us

5,5,5,71

7,7,7,164

9,9,9,466

11,11,11,646

13,13,13,988

15,15,15,1461

17,17,17,2007

19,19,19,2770

21,21,21,3680

23,23,23,4810

25,25,25,5960

27,27,27,7516

29,29,29,9291

31,31,31,11373

33,33,33,13373

35,35,35,15997

37,37,37,18884

39,39,39,22174

41,41,41,25260

43,43,43,29232

45,45,45,33505

47,47,47,38288

49,49,49,42700

51,51,51,48299

53,53,53,54226

55,55,55,60789

57,57,57,66743

59,59,59,74264

61,61,61,82119

63,63,63,90725

65,65,65,98484

67,67,67,108191

69,69,69,118246

71,71,71,129187

73,73,73,138971

75,75,75,151132

77,77,77,163664

79,79,79,177208

81,81,81,189257

83,83,83,204173

85,85,85,219452

87,87,87,235888

89,89,89,250440

91,91,91,268368

93,93,93,286644

95,95,95,306255

97,97,97,323533

99,99,99,344759

