M1:

0.38000202200000000, -0.24314236600000000, -0.31974589800000000, 0.75998807000000000

0.010836840000000000, -0.48453575400000000, 0.68770372900000000, -0.36103940000000000

0.18298113300000000, -0.58523571500000000, -0.86244392400000000, 0.96113634100000000

0.10956978800000000, 0.25252389900000000, -0.18018621200000000, -0.82999038700000000

M2:

0.81525790700000000, 0.74457848100000000, -0.27616959800000000, 0.75413501300000000

-0.79498112200000000, -0.33348053700000000, -0.93601232800000000, -0.10148215300000000

0.84395551700000000, 0.38481891200000000, 0.71702218100000000, -0.13561481200000000

0.015102386000000000, 0.11389243600000000, -0.80203104000000000, 0.21253585800000000

RES:

0.24471956500000000, 0.32753720900000000, -0.71615970100000000, 0.51613444100000000

0.96897035800000000, 0.39317387300000000, 1.2332022190000000, -0.11265246600000000

-0.098920703000000000, 0.10898995400000000, -0.89199864900000000, 0.51861953700000000

-0.27602809700000000, -0.16649720100000000, 0.26985517100000000, -0.094963051000000000

TIME: 41

M1:

0.85567534000000000, -0.20926928500000000, 0.30425012100000000, 0.89828670000000000

0.32857132000000000, -0.12306207400000000, 0.85772717000000000, -0.38532853100000000

M2:

0.19296586500000000, 0.88439333400000000, 0.77929246400000000

0.56615233400000000, -0.86705327000000000, 0.090551257000000000

-0.32393926400000000, 0.71417367500000000, 0.72874343400000000

0.61050558100000000, 0.95443666000000000, -0.084454656000000000

RES:

0.49648830300000000, 2.0128464700000000, 0.79372751700000000

-0.51936560900000000, 0.64208215500000000, 0.90251553100000000

TIME: 15

x,y,z,time_us

5,5,5,26

7,7,7,42

9,9,9,138

11,11,11,113

13,13,13,138

15,15,15,228

17,17,17,229

19,19,19,317

21,21,21,394

23,23,23,519

25,25,25,611

27,27,27,775

29,29,29,938

31,31,31,1159

33,33,33,1329

35,35,35,1595

37,37,37,1846

39,39,39,2182

41,41,41,2416

43,43,43,2819

45,45,45,3183

47,47,47,3665

49,49,49,3995

51,51,51,4554

53,53,53,5062

55,55,55,5721

57,57,57,6164

59,59,59,6904

61,61,61,7575

63,63,63,8427

65,65,65,9003

67,67,67,9958

69,69,69,10821

71,71,71,11893

73,73,73,12617

75,75,75,13804

77,77,77,14869

79,79,79,16194

81,81,81,17076

83,83,83,18523

85,85,85,19807

87,87,87,21405

89,89,89,22482

91,91,91,24213

93,93,93,25750

95,95,95,27647

97,97,97,28914

99,99,99,30962

EOF

