M1:

0.38000206400000000, -0.24314236200000000, -0.31974592000000000, 0.75998811000000000

0.010836795000000000, -0.48453576500000000, 0.68770376600000000, -0.36103941400000000

0.18298108000000000, -0.58523572200000000, -0.86244392500000000, 0.96113633800000000

0.10956982700000000, 0.25252386200000000, -0.18018621300000000, -0.82999042300000000

M2:

0.81525790200000000, 0.74457851600000000, -0.27616959400000000, 0.75413504700000000

-0.79498110100000000, -0.33348051500000000, -0.93601234300000000, -0.10148217400000000

0.84395552600000000, 0.38481890100000000, 0.71702220100000000, -0.13561479100000000

0.015102428000000000, 0.11389241000000000, -0.80203100300000000, 0.21253582400000000

RES:

0.24471959800000000, 0.32753721800000000, -0.71615971300000000, 0.51613446600000000

0.96897038000000000, 0.39317383900000000, 1.2332023340000000, -0.11265246200000000

-0.098920714000000000, 0.10898990200000000, -0.89199853300000000, 0.51861949500000000

-0.27602805200000000, -0.16649711900000000, 0.26985523000000000, -0.094963007000000000

TIME: 67

M1:

0.85567530900000000, -0.20926928900000000, 0.30425015900000000, 0.89828673700000000

0.32857135000000000, -0.12306208100000000, 0.85772712400000000, -0.38532851200000000

M2:

0.19296588300000000, 0.88439327900000000, 0.77929240800000000

0.56615236900000000, -0.86705330100000000, 0.090551253000000000

-0.32393924300000000, 0.71417363900000000, 0.72874349200000000

0.61050561500000000, 0.95443667300000000, -0.084454640000000000

RES:

0.49648836800000000, 2.0128463680000000, 0.79372751600000000

-0.51936552400000000, 0.64208211600000000, 0.90251557400000000

TIME: 39

x,y,z,time_us

5,5,5,96

5,7,5,88

7,5,5,91

5,5,7,83

7,7,5,128

5,7,7,113

7,5,7,109

7,7,7,312

5,9,5,110

9,5,5,101

5,5,9,104

7,9,5,195

9,7,5,218

5,9,7,200

7,5,9,173

7,9,7,235

9,7,7,252

7,7,9,228

9,9,5,265

5,9,9,225

9,5,9,222

9,9,7,287

7,9,9,295

9,7,9,287

9,9,9,358

5,11,5,166

11,5,5,162

5,5,11,161

7,11,5,208

11,7,5,216

5,11,7,221

7,5,11,207

7,11,7,283

11,7,7,272

7,7,11,279

9,11,5,256

11,9,5,256

5,11,9,267

9,5,11,254

9,11,7,336

11,9,7,345

7,11,9,376

9,7,11,346

9,11,9,426

11,9,9,429

9,9,11,424

11,11,5,300

5,11,11,336

11,5,11,299

11,11,7,405

7,11,11,424

11,7,11,400

11,11,9,502

9,11,11,518

11,9,11,503

11,11,11,601

5,13,5,192

13,5,5,181

5,5,13,190

7,13,5,242

13,7,5,249

5,13,7,253

7,5,13,232

7,13,7,332

13,7,7,322

7,7,13,317

9,13,5,308

13,9,5,293

5,13,9,320

9,5,13,290

9,13,7,405

13,9,7,390

7,13,9,408

