M1:

[ 0.380002, -0.243142, -0.319746,  0.759988]
26,50,38,1862

38,26,50,1805

38,50,29,2025

50,38,29,1943

29,50,38,2068

38,29,50,2005

38,50,32,2196

50,38,32,2107

32,50,38,2211

38,32,50,2208

38,50,35,2452

50,38,35,2348

35,50,38,2407

38,35,50,2412

38,50,38,2624

50,38,38,2518

38,38,50,2606

41,50,20,1481

50,41,20,1465

20,50,41,1627

41,20,50,1478

41,50,23,1747

50,41,23,1727

23,50,41,1850

41,23,50,1685

41,50,26,1932

50,41,26,1906

26,50,41,1987

41,26,50,1892

41,50,29,2118

50,41,29,2094

29,50,41,2216

41,29,50,2105

41,50,32,2299

50,41,32,2268

32,50,41,2353

41,32,50,2308

41,50,35,2563

50,41,35,2528

35,50,41,2568

41,35,50,2524

41,50,38,2745

50,41,38,2709

38,50,41,2796

41,38,50,2727

41,50,41,2932

50,41,41,2895

41,41,50,2941

44,50,20,1595

50,44,20,1564

20,50,44,1719

44,20,50,1589

44,50,23,1878

50,44,23,1847

23,50,44,1960

44,23,50,1808

44,50,26,2079

50,44,26,2043

26,50,44,2102

44,26,50,2038

44,50,29,2277

50,44,29,2237

29,50,44,2343

44,29,50,2263

44,50,32,2477

50,44,32,2428

32,50,44,2498

44,32,50,2493

44,50,35,2757

50,44,35,2705

35,50,44,2734

44,35,50,2714

44,50,38,2958

50,44,38,2907

38,50,44,2970

44,38,50,2943

44,50,41,3168

50,44,41,3108

41,50,44,3108

44,41,50,3165

44,50,44,3357

50,44,44,3296

44,44,50,3393

47,50,20,1709

50,47,20,1670

20,50,47,1876

47,20,50,1694

47,50,23,2011

50,47,23,1965

23,50,47,2130

47,23,50,1939

47,50,26,2226

50,47,26,2175

26,50,47,2287

47,26,50,2180

47,50,29,2443

50,47,29,2384

29,50,47,2548

47,29,50,2419

47,50,32,2650

50,47,32,2591

32,50,47,2714

47,32,50,2661

47,50,35,2953

50,47,35,2892

35,50,47,2964

47,35,50,2910

47,50,38,3176

50,47,38,3103

38,50,47,3220

47,38,50,3156

47,50,41,3388

50,47,41,3309

41,50,47,3371

47,41,50,3387

47,50,44,3596

50,47,44,3517

44,50,47,3643

47,44,50,3635

47,50,47,3900

50,47,47,3814

47,47,50,3874

50,50,20,1774

20,50,50,1973

50,20,50,1761

50,50,23,2090

23,50,50,2251

50,23,50,2019

50,50,26,2317

26,50,50,2416

50,26,50,2267

50,50,29,2545

29,50,50,2691

50,29,50,2518

50,50,32,2759

32,50,50,2865

50,32,50,2775

50,50,35,3074

35,50,50,3124

50,35,50,3024

50,50,38,3297

