M1:

[ 0.380002, -0.243142, -0.319746,  0.759988]
26,11,29,342

26,29,14,449

29,26,14,449

14,29,26,499

26,14,29,425

26,29,17,521

29,26,17,519

17,29,26,550

26,17,29,515

26,29,20,600

29,26,20,594

20,29,26,634

26,20,29,598

26,29,23,704

29,26,23,701

23,29,26,722

26,23,29,684

26,29,26,776

29,26,26,765

26,26,29,762

29,29,11,418

11,29,29,447

29,11,29,388

29,29,14,504

14,29,29,540

29,14,29,472

29,29,17,579

17,29,29,597

29,17,29,568

29,29,20,658

20,29,29,692

29,20,29,658

29,29,23,779

23,29,29,791

29,23,29,760

29,29,26,865

26,29,29,843

29,26,29,863

29,29,29,962

14,32,14,333

32,14,14,270

14,14,32,295

17,32,14,357

32,17,14,320

14,32,17,371

17,14,32,326

17,32,17,409

32,17,17,377

17,17,32,388

20,32,14,407

32,20,14,376

14,32,20,414

20,14,32,382

20,32,17,487

32,20,17,438

17,32,20,459

20,17,32,456

20,32,20,531

32,20,20,494

20,20,32,533

23,32,14,468

32,23,14,424

14,32,23,493

23,14,32,436

23,32,17,538

32,23,17,496

17,32,23,540

23,17,32,514

23,32,20,605

32,23,20,559

20,32,23,627

23,20,32,598

23,32,23,714

32,23,23,660

23,23,32,682

26,32,14,494

32,26,14,477

14,32,26,546

26,14,32,465

26,32,17,574

32,26,17,556

17,32,26,599

26,17,32,550

26,32,20,648

32,26,20,644

20,32,26,698

26,20,32,649

26,32,23,770

32,26,23,745

23,32,26,792

26,23,32,730

26,32,26,853

32,26,26,823

26,26,32,827

29,32,14,547

32,29,14,532

14,32,29,596

29,14,32,517

29,32,17,639

32,29,17,615

17,32,29,656

29,17,32,618

29,32,20,731

32,29,20,701

20,32,29,762

29,20,32,712

29,32,23,857

32,29,23,829

23,32,29,865

29,23,32,815

29,32,26,953

32,29,26,915

26,32,29,931

29,26,32,925

29,32,29,1030

32,29,29,1008

29,29,32,1017

32,32,14,591

14,32,32,642

32,14,32,551

32,32,17,685

17,32,32,711

32,17,32,660

32,32,20,775

20,32,32,824

32,20,32,768

32,32,23,913

23,32,32,938

32,23,32,877

32,32,26,1012

26,32,32,1006

32,26,32,992

32,32,29,1100

29,32,32,1127

32,29,32,1091

32,32,32,1191

14,35,14,348

35,14,14,295

14,14,35,337

17,35,14,387

35,17,14,348

14,35,17,405

17,14,35,363

17,35,17,444

35,17,17,406

17,17,35,436

20,35,14,441

35,20,14,407

14,35,20,456

20,14,35,420

20,35,17,513

35,20,17,473

17,35,20,506

20,17,35,512

20,35,20,585

35,20,20,537

20,20,35,593

23,35,14,503

35,23,14,461

14,35,23,548

23,14,35,487

23,35,17,585

35,23,17,542

17,35,23,593

23,17,35,579

23,35,20,662

35,23,20,611

20,35,23,689

23,20,35,675

23,35,23,787

35,23,23,722

23,23,35,766

26,35,14,539

35,26,14,517

14,35,26,593

26,14,35,522

26,35,17,629

35,26,17,605

17,35,26,658

26,17,35,624

26,35,20,713

35,26,20,688

20,35,26,758

26,20,35,715

26,35,23,839

35,26,23,816

23,35,26,865

26,23,35,822

26,35,26,925

35,26,26,899

26,26,35,915

29,35,14,594

35,29,14,576

14,35,29,645

29,14,35,571

29,35,17,700

35,29,17,672

17,35,29,716

29,17,35,689

29,35,20,793

35,29,20,757

20,35,29,826

29,20,35,804

29,35,23,938

35,29,23,895

23,35,29,959

29,23,35,917

29,35,26,1035

35,29,26,994

26,35,29,1011

29,26,35,1030

29,35,29,1132

